# Pick And Place List
# eMail=
#
# Project=BodenfeuchteV1.0-PCB
# Date=02:04:55
# CreatedBy=Fritzing 1.0.6.2025-10-07.CD-2239-0-04e5bb02
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB. Rotation in degree (0-360, math. pos.)
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
ESP32-c6,";;;;;;;;","",1244.9,2300.03,-90,Top,MANUAL
LiPo,";;;;;;;;","battery-18650-kit",1574.51,1151.51,0,Top,SMT
Sensor4,";;;;;;;;","THT",432.795,469.602,-90,Top,THT
Sensor3,";;;;;;;;","THT",1232.8,469.602,-90,Top,THT
Sensor2,";;;;;;;;","THT",2032.8,469.602,-90,Top,THT
Sensor1,";;;;;;;;","THT",2732.8,469.602,-90,Top,THT
1kOhm,"1k;;;;;0.25W;;;","THT",2700,1749.61,0,Top,THT
10kOhm,"10k;;;;;0.25W;;;","THT",2800,1949.61,0,Top,THT
MosFET,";;;;;;;;","TO92",2800,2168.48,0,Top,THT
Solar,";;;;;;;;","THT",2805,2609.61,90,Top,THT
